NAME_1,NAME_2,LGU,District,Category,Score,Population,Population Weight (50%),Revenue,Revenue Weight (50%),Total Percentage,Provincial Score,Population_Growth,Economic Dynamism,Government Efficiency,Infrastructure,Resiliency,Innovation
Batangas,Agoncillo,Agoncillo,District 3,Fourth Class Municipality,32.3441,39101,0.007,31748738.06,0.001,0.008,0.2458,0.57,3.2459,8.2051,2.7663,10.8548,7.272
Batangas,Alitagtag,Alitagtag,District 3,Fourth Class Municipality,35.4904,25300,0.004,16220331.44,0,0.005,0.1704,1.24,4.1223,8.3791,3.4004,11.575,8.0136
Batangas,Balayan,Balayan,District 1,First Class Municipality,35.8573,95913,0.017,472963118,0.012,0.029,1.0399,1.18,3.8224,9.1052,3.4853,11.4827,7.9219
Batangas,Balete,Balete,District 3,Fifth Class Municipality,33.9987,22661,0.004,132970346.6,0.004,0.007,0.2516,1.26,5.1104,6.3538,5.0963,11.1802,6.258
Batangas,BatangasCity,Batangas City,District 5,Component City,43.5608,329874,0.057,4537250727,0.119,0.176,7.6493,1.34,7.0511,10.6545,5.6833,11.6392,8.5327
Batangas,Bauan,Bauan,District 2,First Class Municipality,35.2829,90819,0.016,489199869.8,0.013,0.028,1.0056,-0.11,3.8693,9.6461,3.4659,11.3279,6.9546
Batangas,Calaca,Calaca,District 1,Component City,28.8746,81859,0.014,890504264.4,0.023,0.037,1.0799,1.38,2.4625,6.723,3.7014,11.1969,4.7908
Batangas,Calatagan,Calatagan,District 1,Second Class Municipality,29.7436,58719,0.01,324565670,0.009,0.019,0.5532,0.83,3.1024,7.4195,2.6135,11.2992,5.2918
Batangas,Cuenca,Cuenca,District 3,Fourth Class Municipality,25.9644,36325,0.006,184136837.9,0.005,0.011,0.2882,2.13,5.0086,4.7558,3.0385,11.1884,1.9731
Batangas,Ibaan,Ibaan,District 4,Second Class Municipality,26.2914,58507,0.01,62068100.4,0.002,0.012,0.3076,2.12,3.4762,7.9643,2.6733,11.1043,1.0608
Batangas,Laurel,Laurel,District 3,Third Class Municipality,30.131,43210,0.008,220426424.3,0.006,0.013,0.4007,1.94,4.0107,6.7385,2.764,11.3397,5.2781
Batangas,Lemery,Lemery,District 1,First Class Municipality,33.2801,93186,0.016,99784689.32,0.003,0.019,0.6223,0.01,3.7807,9.1224,3.1979,11.2861,5.8599
Batangas,Lian,Lian,District 1,Third Class Municipality,31.4459,52660,0.009,257363857.8,0.007,0.016,0.4968,1.41,4.0806,4.6733,3.3842,11.4769,7.8309
Batangas,LipaCity,Lipa City,District 6,Component City,42.2445,400000,0.069,2934746181,0.077,0.146,6.1592,2.45,5.7204,9.7402,6.5619,11.1695,9.0525
Batangas,Lobo,Lobo,District 2,Third Class Municipality,32.6326,49047,0.009,254558753,0.007,0.015,0.496,-0.39,4.0793,6.3851,3.2812,11.3787,7.5083
Batangas,Mabini,Mabini,District 2,First Class Municipality,33.9352,50670,0.009,289903995.4,0.008,0.016,0.5565,2.04,3.5712,9.2837,3.3768,11.1322,6.5632
Batangas,Malvar,Malvar,District 3,Second Class Municipality,33.8549,56270,0.01,565492179.6,0.015,0.025,0.8294,2.87,3.6121,9.1464,3.2288,11.3141,6.5427
Batangas,MataasNaKahoy,Mataas na Kahoy,District 3,Fourth Class Municipality,30.539,29187,0.005,28467866.1,0.001,0.006,0.1741,1.01,4.0899,8.474,2.5664,10.85,4.5587
Batangas,Nasugbu,Nasugbu,District 1,First Class Municipality,28.3208,134113,0.023,664065862.4,0.017,0.041,1.1498,0.38,3.7919,6.403,3.094,11.2359,3.7839
Batangas,PadreGarcia,Padre Garcia,District 4,Second Class Municipality,28.7886,48302,0.008,316005526.2,0.008,0.017,0.4779,1.5,3.0815,7.9187,2.5856,11.4167,3.7829
Batangas,Rosario,Rosario,District 4,First Class Municipality,37.4499,128352,0.022,77171602.16,0.002,0.024,0.9063,2.01,4.7659,8.8452,3.5309,11.5021,8.753
Batangas,SanJose,San Jose,District 4,First Class Municipality,33.5958,76971,0.013,379271892.4,0.01,0.023,0.7794,0.78,3.8706,9.8619,3.0655,11.1441,5.6374
Batangas,SanJuan,San Juan,District 4,First Class Municipality,35.7349,118490,0.021,522521430.5,0.014,0.034,1.2221,1.04,3.6109,8.7537,3.6176,11.2911,8.418
Batangas,SanLuis,San Luis,District 2,Fourth Class Municipality,29.3799,36172,0.006,171605037.4,0.005,0.011,0.3144,1.85,3.5981,6.9117,2.753,10.8773,5.2398
Batangas,SanNicolas,San Nicolas,District 3,Fifth Class Municipality,30.5174,22623,0.004,144975247,0.004,0.008,0.235,1.17,4.9445,7.0191,4.6078,9.696,4.25
Batangas,SanPascual,San Pascual,District 2,First Class Municipality,30.4288,69009,0.012,374647484.9,0.01,0.022,0.6603,1.13,3.2833,9.0057,2.9908,11.2922,3.837
Batangas,SantaTeresita,Santa Teresita,District 3,Fifth Class Municipality,32.4386,21559,0.004,9362697.4,0,0.004,0.1265,0.43,3.4697,8.5424,4.7164,11.08,4.6301
Batangas,SantoTomas,Santo Tomas,District 3,Component City,30.2449,218500,0.038,1526158707,0.04,0.078,2.35,4.18,3.1143,6.7903,4.136,10.2755,5.9288
Batangas,Taal,Taal,District 1,Third Class Municipality,36.7092,61460,0.011,256202215.6,0.007,0.017,0.6351,1.85,4.3211,8.2878,3.4907,11.5556,9.054
Batangas,Talisay,Talisay,District 3,Third Class Municipality,23.8835,46637,0.008,239716223.5,0.006,0.014,0.3439,0.43,4.3238,4.2654,3.0373,8.6593,3.5977
Batangas,TanauanCity,Tanauan,District 3,Component City,37.166,193936,0.034,2275119576,0.06,0.093,3.4564,2.39,3.1552,9.7182,4.7154,11.5302,8.047
Batangas,Taysan,Taysan,District 4,Second Class Municipality,29.143,40146,0.007,41182226.37,0.001,0.008,0.2331,1.16,2.9595,7.0729,2.5959,11.2959,5.2093
Batangas,Tingloy,Tingloy,District 2,Fifth Class Municipality,20.8177,17919,0.003,114137337.7,0.003,0.006,0.127,1.48,1.4109,5.7531,2.3895,10.3475,0.9167
Batangas,Tuy,Tuy,District 1,Third Class Municipality,29.2778,46519,0.008,223324437.8,0.006,0.014,0.404,1.3,3.7908,6.1243,2.7035,11.2311,5.4281
