NAME_1,NAME_2,LGU,District,Category,Score,Population,Population Weight (50%),Revenue,Revenue Weight (50%),Total Percentage,Provincial Score,Population_Growth,,Economic Dynamism,Government Efficiency,Infrastructure,Resiliency,Innovation
Laguna,Alaminos,Alaminos (LA),District 3,Third Class Municipality,34.5807,51659,0.008,75683851.71,0.002,0.01,0.3423,1.61,,5.129,7.237,3.7536,11.4187,7.0424
Laguna,Bay,Bay,District 2,Second Class Municipality,34.6533,62143,0.01,58278249.65,0.002,0.011,0.3847,1.66,,4.2466,9.1306,2.7503,11.3087,7.1811
Laguna,Biñan,Binan,Lone District,Component City,46.1444,333028,0.052,1550591187,0.04,0.091,4.2084,4.34,,8.8461,10.5862,4.7384,11.7705,10.2032
Laguna,Cabuyao,Cabuyao,District 2,Component City,38.3077,355330,0.055,2842920693,0.073,0.128,4.8919,3,,5.3098,9.0763,5.9371,12.1967,5.7878
Laguna,CalambaCity,Calamba (LA),Lone District,Component City,46.4959,454486,0.071,2357361816,0.06,0.131,6.077,3.68,,7.8229,10.1778,6.5202,11.8557,10.1193
Laguna,Calauan,Calauan,District 3,Second Class Municipality,32.7138,87693,0.014,342728012.3,0.009,0.022,0.7295,1.83,,3.5054,9.3283,2.5926,11.308,5.9679
Laguna,Cavinti,Cavinti,District 4,Third Class Municipality,29.6835,23980,0.004,195172948.3,0.005,0.009,0.2582,2.12,,3.7289,7.5064,2.7516,10.3755,5.3211
Laguna,Famy,Famy,District 4,Fifth Class Municipality,36.0216,16587,0.003,8141059.52,0,0.003,0.1009,0.26,,5.3978,8.5284,4.9481,11.4707,5.6766
Laguna,Kalayaan,Kalayaan (LA),District 4,Third Class Municipality,28.9726,23269,0.004,166507611.4,0.004,0.008,0.226,1.31,,3.6667,7.8427,2.5766,11.2973,3.5893
Laguna,Liliw,Liliw,District 3,Fourth Class Municipality,32.5482,39491,0.006,16852802.16,0,0.007,0.2116,1.62,,4.7905,7.571,2.686,11.3821,6.1186
Laguna,LosBaños,Los Banos,District 2,First Class Municipality,37.0394,112008,0.017,70179094.36,0.002,0.019,0.7112,0.62,,5.1482,9.3779,3.9638,11.4688,7.0616
Laguna,Luisiana,Luisiana,District 4,Fourth Class Municipality,27.5751,20859,0.003,150704662.1,0.004,0.007,0.193,1.19,,4.118,7.4854,2.6726,11.0974,2.2017
Laguna,Lumban,Lumban,District 4,Third Class Municipality,26.2551,30652,0.005,182770621.9,0.005,0.01,0.2494,1.13,,4.0696,5.9451,2.8542,9.3584,4.0278
Laguna,Mabitac,Mabitac,District 4,Fifth Class Municipality,29.8916,21275,0.003,105051543.8,0.003,0.006,0.1793,0.75,,4.0371,7.3301,5.2663,11.3799,1.8782
Laguna,Magdalena,Magdalena,District 4,Fourth Class Municipality,29.8519,27816,0.004,166213864.1,0.004,0.009,0.2537,2.04,,3.9355,6.809,2.8764,11.5836,4.6474
Laguna,Majayjay,Majayjay,District 4,Fourth Class Municipality,29.6018,27893,0.004,164211244.4,0.004,0.009,0.2516,0.08,,4.2389,6.9431,2.9529,11.0403,4.4266
Laguna,Nagcarlan,Nagcarlan,District 3,Second Class Municipality,30.5863,63057,0.01,30639587.07,0.001,0.011,0.3242,0.6,,4.333,7.5978,2.8311,11.5461,4.2692
Laguna,Paete,Paete,District 4,Fourth Class Municipality,33.4647,25096,0.004,13456951.75,0,0.004,0.1406,-0.13,,4.4739,8.1499,2.6095,11.2717,6.9597
Laguna,Pagsanjan,Pagsanjan,District 4,Third Class Municipality,37.8813,42164,0.007,218968228.3,0.006,0.012,0.4584,1.06,,5.158,8.3316,4.1221,11.953,8.3166
Laguna,Pakil,Pakil,District 4,Fifth Class Municipality,35.0839,24800,0.004,137268266.6,0.004,0.007,0.2596,2.75,,3.8823,9.1994,5.4219,11.6095,4.9708
Laguna,Pangil,Pangil,District 4,Fourth Class Municipality,24.9916,25026,0.004,180222722.4,0.005,0.009,0.2124,0.64,,3.361,6.5996,2.6281,11.4801,0.9228
Laguna,Pila,Pila,District 4,Third Class Municipality,31.1829,54613,0.009,12853870.65,0,0.009,0.2744,1.75,,4.4748,5.7735,3.3517,11.08,6.5029
Laguna,Rizal,Rizal (LA),District 3,Fifth Class Municipality,32.981,18332,0.003,18300467.03,0.001,0.003,0.1088,1.29,,4.7136,7.6267,4.5749,11.3726,4.6932
Laguna,SanPabloCity,San Pablo (LA),District 3,Component City,38.787,285348,0.044,1851624726,0.047,0.092,3.549,1.48,,4.6915,9.8805,4.7007,11.7875,7.7268
Laguna,SanPedro,San Pedro,District 1,Component City,41.2047,326001,0.051,2545311175,0.065,0.115,4.7591,0.01,,5.6166,9.6245,6.3227,11.7326,7.9083
Laguna,SantaCruz,Santa Cruz (LA),District 4,First Class Municipality,35.0512,123574,0.019,502507637.7,0.013,0.032,1.1216,1.05,,5.5092,9.7812,3.3538,11.3238,5.0524
Laguna,SantaMaria,Santa Maria (LA),District 4,Fourth Class Municipality,33.6337,40667,0.006,189424695,0.005,0.011,0.3733,2.4,,4.039,8.3622,2.9766,11.6041,6.6518
Laguna,SantaRosaCity,Santa Rosa (LA),Lone District,Component City,44.5938,414812,0.064,4970354460,0.127,0.191,8.5219,3.41,,7.74,11.1886,5.9758,11.6663,8.0231
Laguna,Siniloan,Siniloan,District 4,Second Class Municipality,34.6618,42746,0.007,242377713.3,0.006,0.013,0.4437,0.76,,3.6634,9.4962,2.6703,11.4978,7.3245
Laguna,Victoria,Victoria (LA),District 3,Fourth Class Municipality,24.9516,46007,0.007,251766610.1,0.006,0.014,0.3368,2.1,,4.2941,3.9451,2.2827,11.3661,3.0636
