date,revenue,discount_rate,coupon_rate
1/4/2019,"10,500,089",15.33%,0.60%
2/4/2019,"10,630,536",16.79%,0.56%
3/4/2019,"10,606,028",17.60%,0.52%
4/4/2019,"10,211,386",18.62%,0.52%
5/4/2019,"8,627,591",18.03%,0.49%
6/4/2019,"8,623,723",17.10%,0.45%
7/4/2019,"11,720,757",16.65%,0.58%
8/4/2019,"10,495,911",15.88%,0.66%
9/4/2019,"12,183,043",17.49%,2.79%
10/4/2019,"9,180,564",14.81%,0.48%
11/4/2019,"8,387,461",13.29%,0.49%
12/4/2019,"7,409,969",14.10%,0.48%
13/4/2019,"7,818,034",14.77%,0.42%
14/4/2019,"10,499,467",12.40%,0.54%
15/4/2019,"8,520,117",12.95%,0.55%
16/4/2019,"8,120,247",12.34%,0.52%
17/4/2019,"7,415,052",11.38%,0.47%
18/4/2019,"6,283,315",11.06%,0.46%
19/4/2019,"6,701,691",12.67%,0.42%
20/4/2019,"6,083,269",12.28%,0.44%
21/4/2019,"6,502,393",10.85%,0.78%
22/4/2019,"8,851,197",9.15%,0.79%
23/4/2019,"9,181,743",8.56%,0.47%
24/4/2019,"9,649,986",9.92%,0.43%
25/4/2019,"9,061,825",10.03%,0.42%
26/4/2019,"8,368,558",11.44%,0.41%
27/4/2019,"8,413,452",10.60%,0.40%
28/4/2019,"10,441,828",10.82%,0.52%
29/4/2019,"8,625,136",11.66%,0.54%
30/4/2019,"7,789,218",13.55%,0.53%
1/5/2019,"8,751,130",13.25%,0.45%
2/5/2019,"8,327,155",12.96%,0.47%
3/5/2019,"8,432,771",23.62%,0.58%
4/5/2019,"8,773,322",15.46%,0.60%
5/5/2019,"10,564,157",12.75%,0.66%
6/5/2019,"8,974,423",11.22%,0.54%
7/5/2019,"9,026,923",12.11%,0.45%
8/5/2019,"9,532,726",14.14%,0.42%
9/5/2019,"8,691,148",11.94%,0.44%
10/5/2019,"7,681,298",13.53%,0.44%
11/5/2019,"8,645,802",13.21%,0.72%
12/5/2019,"10,642,018",12.22%,0.87%
13/5/2019,"9,269,270",12.01%,0.55%
14/5/2019,"9,235,811",12.55%,0.49%
15/5/2019,"9,674,692",13.40%,0.44%
16/5/2019,"9,746,867",15.18%,0.45%
17/5/2019,"7,812,157",15.26%,0.44%
18/5/2019,"8,303,684",15.92%,0.41%
19/5/2019,"10,919,144",14.70%,0.51%
20/5/2019,"10,018,022",14.42%,0.50%
21/5/2019,"10,075,549",14.53%,0.50%
22/5/2019,"9,779,749",15.19%,0.46%
23/5/2019,"9,024,315",15.13%,0.45%
24/5/2019,"8,386,504",15.51%,0.43%
25/5/2019,"8,489,108",14.91%,0.42%
26/5/2019,"10,764,851",14.90%,0.64%
27/5/2019,"10,151,734",14.62%,0.65%
28/5/2019,"9,331,294",13.85%,0.59%
29/5/2019,"8,223,913",14.60%,0.47%
30/5/2019,"9,006,153",15.27%,0.51%
31/5/2019,"8,230,518",14.15%,0.53%
1/6/2019,"8,192,826",14.04%,0.77%
2/6/2019,"11,780,474",12.24%,0.67%
3/6/2019,"11,732,536",11.96%,0.55%
4/6/2019,"11,391,410",12.76%,0.48%
5/6/2019,"10,925,495",12.90%,0.44%
6/6/2019,"9,610,712",13.93%,0.46%
7/6/2019,"7,538,141",13.21%,0.44%
8/6/2019,"7,115,685",13.59%,0.40%
9/6/2019,"8,816,841",16.04%,0.55%
10/6/2019,"10,737,794",14.97%,0.62%
11/6/2019,"8,660,661",14.04%,0.51%
12/6/2019,"8,912,505",14.95%,0.45%
13/6/2019,"8,216,043",14.54%,0.44%
14/6/2019,"7,251,377",15.17%,0.43%
15/6/2019,"7,457,473",16.80%,0.40%
16/6/2019,"14,280,396",20.78%,5.21%
17/6/2019,"12,633,583",21.43%,4.95%
18/6/2019,"11,510,969",20.76%,4.77%
19/6/2019,"8,515,110",20.25%,0.57%
20/6/2019,"8,909,811",20.33%,0.48%
21/6/2019,"7,722,435",18.76%,0.45%
22/6/2019,"8,579,168",21.59%,0.49%
23/6/2019,"10,359,877",20.13%,0.54%
24/6/2019,"11,367,415",21.42%,0.52%
25/6/2019,"10,527,014",20.92%,0.48%
26/6/2019,"9,941,434",20.99%,0.41%
27/6/2019,"8,903,759",20.01%,0.65%
28/6/2019,"7,666,447",22.07%,0.73%
29/6/2019,"7,342,412",22.07%,0.72%
30/6/2019,"10,749,819",25.47%,0.72%
1/7/2019,"9,484,576",23.47%,0.53%
2/7/2019,"9,267,014",22.76%,0.41%
3/7/2019,"8,997,740",23.87%,0.40%
4/7/2019,"8,131,500",23.87%,0.42%
5/7/2019,"7,153,429",23.93%,0.39%
6/7/2019,"7,135,758",24.28%,0.39%
7/7/2019,"9,263,979",23.84%,0.41%
8/7/2019,"8,812,812",23.00%,0.40%
9/7/2019,"8,085,462",22.93%,0.36%
10/7/2019,"8,285,003",24.33%,0.38%
11/7/2019,"7,780,385",24.20%,0.37%
12/7/2019,"6,718,150",24.87%,0.37%
13/7/2019,"6,605,786",23.84%,0.35%
14/7/2019,"9,126,022",26.87%,1.40%
15/7/2019,"8,648,209",25.04%,1.45%
16/7/2019,"8,167,133",25.07%,1.75%
17/7/2019,"7,307,006",23.25%,0.39%
18/7/2019,"6,774,004",22.88%,0.37%
19/7/2019,"5,996,774",23.95%,0.39%
20/7/2019,"5,857,688",23.13%,0.38%
21/7/2019,"9,711,906",25.83%,6.84%
22/7/2019,"9,406,814",23.17%,6.33%
23/7/2019,"9,382,745",23.43%,6.86%
24/7/2019,"6,643,760",18.87%,0.53%
25/7/2019,"6,378,231",20.48%,0.38%
26/7/2019,"5,810,560",21.96%,0.38%
27/7/2019,"5,952,988",21.98%,0.36%
28/7/2019,"7,509,167",18.55%,0.42%
29/7/2019,"6,976,801",18.67%,0.42%
30/7/2019,"6,767,027",18.74%,0.39%
31/7/2019,"7,244,724",20.41%,0.44%
1/8/2019,"6,380,867",19.74%,0.40%
2/8/2019,"6,274,951",20.81%,0.38%
3/8/2019,"6,169,170",20.64%,0.36%
4/8/2019,"6,950,060",16.84%,0.43%
5/8/2019,"7,623,914",17.56%,0.39%
6/8/2019,"7,910,551",18.20%,0.37%
7/8/2019,"8,966,438",28.47%,0.49%
8/8/2019,"7,455,852",23.49%,0.46%
9/8/2019,"6,403,890",20.08%,0.38%
10/8/2019,"6,368,664",18.88%,0.35%
11/8/2019,"7,385,128",16.31%,0.43%
12/8/2019,"7,944,905",16.04%,0.40%
13/8/2019,"8,091,707",17.39%,0.39%
14/8/2019,"8,066,902",23.84%,0.51%
15/8/2019,"7,959,092",18.48%,0.46%
16/8/2019,"6,679,888",15.09%,0.34%
17/8/2019,"6,702,334",14.63%,0.35%
18/8/2019,"8,221,946",13.08%,0.41%
19/8/2019,"8,076,018",13.19%,0.39%
20/8/2019,"8,603,626",13.96%,0.38%
21/8/2019,"9,033,448",25.06%,0.48%
22/8/2019,"7,891,112",19.01%,0.43%
23/8/2019,"6,670,712",16.57%,0.37%
24/8/2019,"6,075,016",15.40%,0.36%
25/8/2019,"10,568,687",14.12%,6.41%
26/8/2019,"10,185,680",15.50%,6.64%
27/8/2019,"10,914,344",15.12%,7.62%
28/8/2019,"8,562,783",23.52%,0.60%
29/8/2019,"7,801,622",18.11%,0.41%
30/8/2019,"6,789,101",16.98%,0.38%
31/8/2019,"6,682,131",17.35%,0.36%
1/9/2019,"9,925,473",14.38%,0.39%
2/9/2019,"9,415,393",14.09%,0.36%
3/9/2019,"9,460,497",13.96%,0.38%
4/9/2019,"9,580,422",15.20%,0.35%
5/9/2019,"9,688,951",13.34%,0.32%
6/9/2019,"8,745,534",13.54%,0.33%
7/9/2019,"9,047,003",14.07%,0.34%
8/9/2019,"13,015,754",12.73%,0.36%
9/9/2019,"11,418,586",11.86%,0.36%
10/9/2019,"10,236,482",12.35%,0.34%
11/9/2019,"10,312,696",12.76%,0.33%
12/9/2019,"8,775,233",12.60%,0.36%
13/9/2019,"7,971,786",14.08%,0.38%
14/9/2019,"7,621,210",14.16%,0.35%
15/9/2019,"10,180,036",15.42%,0.45%
16/9/2019,"9,506,759",12.87%,0.41%
17/9/2019,"9,756,414",13.37%,0.39%
18/9/2019,"10,924,390",13.77%,0.39%
19/9/2019,"9,420,428",11.79%,0.40%
20/9/2019,"8,312,519",16.92%,0.45%
21/9/2019,"8,074,423",15.51%,0.41%
22/9/2019,"10,548,721",12.50%,0.47%
23/9/2019,"10,025,451",10.58%,0.43%
24/9/2019,"10,235,557",11.30%,0.42%
25/9/2019,"10,872,298",11.91%,0.45%
26/9/2019,"10,104,486",12.16%,0.78%
27/9/2019,"9,092,437",13.75%,0.68%
28/9/2019,"9,090,269",12.59%,0.44%
29/9/2019,"11,197,659",11.58%,0.54%
30/9/2019,"9,825,676",11.65%,0.48%
1/10/2019,"9,458,305",11.60%,0.43%
2/10/2019,"9,291,879",12.85%,0.39%
3/10/2019,"9,967,101",12.66%,0.43%
4/10/2019,"8,849,303",11.72%,0.42%
5/10/2019,"8,928,127",11.77%,0.38%
6/10/2019,"11,718,805",10.51%,0.50%
7/10/2019,"10,112,635",10.56%,0.47%
8/10/2019,"10,313,138",11.42%,0.71%
9/10/2019,"10,648,370",11.60%,0.69%
10/10/2019,"9,167,259",12.22%,0.44%
11/10/2019,"7,745,866",12.92%,0.45%
12/10/2019,"7,540,961",13.10%,0.40%
13/10/2019,"15,563,730",19.56%,5.39%
14/10/2019,"12,431,305",18.16%,5.08%
15/10/2019,"14,578,086",19.68%,5.69%
16/10/2019,"10,205,787",17.66%,0.54%
17/10/2019,"9,250,539",17.03%,0.43%
18/10/2019,"8,404,215",17.67%,0.41%
19/10/2019,"8,868,181",17.36%,0.38%
20/10/2019,"12,155,802",19.01%,0.70%
21/10/2019,"10,389,565",18.09%,0.39%
22/10/2019,"10,303,936",18.57%,0.36%
23/10/2019,"10,469,695",18.39%,0.37%
24/10/2019,"9,861,669",19.66%,0.49%
25/10/2019,"8,962,360",24.85%,0.57%
26/10/2019,"8,447,715",20.48%,0.49%
27/10/2019,"14,263,486",20.59%,3.14%
28/10/2019,"12,279,514",18.74%,2.86%
29/10/2019,"13,734,756",19.33%,3.17%
30/10/2019,"10,190,064",14.37%,0.50%
31/10/2019,"8,988,104",13.46%,0.50%
1/11/2019,"9,394,157",12.93%,0.42%
2/11/2019,"9,771,254",14.05%,0.41%
3/11/2019,"13,119,494",13.68%,0.45%
4/11/2019,"10,607,902",13.18%,0.39%
5/11/2019,"10,454,016",12.69%,0.38%
6/11/2019,"11,175,823",13.72%,0.35%
7/11/2019,"10,120,963",12.69%,0.34%
8/11/2019,"9,263,249",15.13%,0.43%
9/11/2019,"9,835,507",15.04%,0.46%
10/11/2019,"12,672,072",13.13%,0.39%
11/11/2019,"11,257,194",12.37%,0.36%
12/11/2019,"10,310,460",13.51%,0.34%
13/11/2019,"12,432,954",14.42%,0.30%
14/11/2019,"10,451,379",14.36%,0.31%
15/11/2019,"9,126,718",14.78%,0.31%
16/11/2019,"10,073,952",16.09%,0.29%
17/11/2019,"13,449,138",15.95%,0.38%
18/11/2019,"11,135,842",15.00%,0.38%
19/11/2019,"11,170,793",17.35%,0.37%
20/11/2019,"10,809,529",15.58%,0.35%
21/11/2019,"13,464,320",21.39%,0.80%
22/11/2019,"13,194,815",24.21%,1.10%
23/11/2019,"11,394,575",22.82%,0.79%
24/11/2019,"18,369,979",23.51%,0.74%
25/11/2019,"19,451,675",27.64%,0.89%
26/11/2019,"16,369,623",27.52%,0.84%
27/11/2019,"18,780,605",28.41%,0.79%
28/11/2019,"18,924,653",28.54%,0.96%
29/11/2019,"55,845,299",33.56%,0.95%
30/11/2019,"10,168,830",24.04%,0.76%
1/12/2019,"13,180,423",22.50%,0.65%
2/12/2019,"14,467,309",21.65%,0.62%
3/12/2019,"9,471,649",14.34%,0.76%
4/12/2019,"9,336,184",12.95%,0.77%
5/12/2019,"9,305,747",14.39%,0.82%
6/12/2019,"10,918,223",19.82%,0.88%
7/12/2019,"9,724,310",17.95%,0.73%
8/12/2019,"13,327,254",19.63%,0.64%
9/12/2019,"12,355,081",18.67%,0.58%
10/12/2019,"12,014,019",18.56%,0.55%
11/12/2019,"12,253,189",17.04%,0.53%
12/12/2019,"11,634,390",16.62%,0.46%
13/12/2019,"10,566,462",18.24%,0.63%
14/12/2019,"10,457,991",18.70%,0.51%
15/12/2019,"12,957,232",18.01%,0.56%
16/12/2019,"12,524,985",20.07%,0.41%
17/12/2019,"11,121,635",17.04%,0.37%
18/12/2019,"10,408,452",18.08%,0.39%
19/12/2019,"8,408,970",18.97%,0.39%
20/12/2019,"7,550,796",22.00%,0.43%
21/12/2019,"6,385,590",22.13%,0.38%
22/12/2019,"6,614,485",21.50%,0.42%
23/12/2019,"5,806,398",21.58%,0.43%
24/12/2019,"4,828,230",24.88%,0.45%
25/12/2019,"6,345,249",24.25%,0.40%
26/12/2019,"8,349,394",24.83%,0.41%
27/12/2019,"8,328,472",22.93%,0.39%
28/12/2019,"7,782,235",23.37%,0.37%
29/12/2019,"8,154,162",24.54%,0.61%
30/12/2019,"7,141,564",22.28%,0.61%
31/12/2019,"5,177,334",24.61%,1.00%
1/1/2020,"6,132,088",24.10%,0.45%
2/1/2020,"8,873,931",23.39%,0.45%
3/1/2020,"9,241,192",23.59%,0.43%
4/1/2020,"9,164,339",23.32%,0.39%
5/1/2020,"9,964,575",26.71%,0.41%
6/1/2020,"9,025,212",25.40%,0.41%
7/1/2020,"11,184,867",29.60%,0.41%
8/1/2020,"10,661,562",29.25%,0.39%
9/1/2020,"9,880,642",29.59%,0.39%
10/1/2020,"8,999,233",29.58%,0.35%
11/1/2020,"9,146,991",28.98%,0.37%
12/1/2020,"11,056,435",29.91%,0.51%
13/1/2020,"9,281,375",28.45%,0.52%
14/1/2020,"9,345,828",27.40%,0.46%
15/1/2020,"9,287,764",26.33%,0.41%
16/1/2020,"7,896,119",26.71%,0.38%
17/1/2020,"8,152,540",29.10%,0.45%
18/1/2020,"8,199,998",26.98%,0.40%
19/1/2020,"10,044,392",24.92%,0.50%
20/1/2020,"8,583,138",24.68%,0.51%
21/1/2020,"9,144,522",26.36%,0.47%
22/1/2020,"9,417,989",25.90%,0.45%
23/1/2020,"9,118,287",27.42%,0.48%
24/1/2020,"8,519,708",29.15%,0.52%
25/1/2020,"8,107,755",25.76%,0.51%
26/1/2020,"14,361,086",27.28%,8.85%
27/1/2020,"11,764,865",25.71%,8.20%
28/1/2020,"13,579,846",26.97%,9.09%
29/1/2020,"8,814,434",23.61%,0.60%
30/1/2020,"7,918,341",25.78%,0.48%
31/1/2020,"7,837,195",24.36%,0.48%
1/2/2020,"8,053,703",21.06%,0.38%
2/2/2020,"9,622,921",18.42%,0.36%
3/2/2020,"8,349,223",18.82%,0.35%
4/2/2020,"8,697,318",19.26%,0.33%
5/2/2020,"8,739,794",20.26%,0.36%
6/2/2020,"8,039,115",22.18%,0.38%
7/2/2020,"7,003,209",21.82%,0.49%
8/2/2020,"7,356,612",19.42%,0.39%
9/2/2020,"8,840,248",15.58%,0.46%
10/2/2020,"9,021,374",15.91%,0.79%
11/2/2020,"9,492,522",17.11%,0.76%
12/2/2020,"9,765,512",21.52%,0.75%
13/2/2020,"8,409,753",20.73%,0.85%
14/2/2020,"7,838,368",19.54%,0.64%
15/2/2020,"7,277,227",17.02%,0.29%
16/2/2020,"9,150,937",14.59%,0.31%
17/2/2020,"8,402,623",14.90%,0.30%
18/2/2020,"8,471,884",15.21%,0.32%
19/2/2020,"9,251,125",19.12%,0.31%
20/2/2020,"7,920,228",20.06%,0.45%
21/2/2020,"7,182,036",17.88%,0.41%
22/2/2020,"7,406,150",16.12%,0.29%
23/2/2020,"9,239,084",14.53%,0.31%
24/2/2020,"8,324,616",15.18%,0.30%
25/2/2020,"8,978,459",15.35%,0.30%
26/2/2020,"9,111,578",15.67%,0.28%
27/2/2020,"8,670,134",16.21%,0.31%
28/2/2020,"7,531,061",16.13%,0.30%
29/2/2020,"8,432,927",15.46%,0.29%
1/3/2020,"12,255,149",15.24%,3.65%
2/3/2020,"9,715,966",14.12%,3.31%
3/3/2020,"10,520,096",12.75%,4.47%
4/3/2020,"9,723,537",13.62%,0.32%
5/3/2020,"8,783,248",13.20%,0.26%
6/3/2020,"8,432,308",15.53%,0.28%
7/3/2020,"8,705,161",14.78%,0.24%
8/3/2020,"10,989,028",14.17%,0.43%
9/3/2020,"9,517,514",14.49%,0.62%
10/3/2020,"9,293,987",13.37%,0.53%
11/3/2020,"9,447,835",12.19%,0.46%
12/3/2020,"8,286,728",13.95%,0.30%
13/3/2020,"6,032,948",13.54%,0.33%
14/3/2020,"6,877,707",15.15%,0.27%
15/3/2020,"7,704,831",13.07%,0.28%
16/3/2020,"6,765,826",16.08%,0.29%
17/3/2020,"7,150,056",16.34%,0.30%
18/3/2020,"9,505,771",18.33%,1.91%
19/3/2020,"9,180,622",18.68%,2.19%
20/3/2020,"8,849,723",18.99%,2.69%
21/3/2020,"9,364,469",20.75%,0.28%
22/3/2020,"10,483,983",20.31%,0.28%
23/3/2020,"8,672,006",20.93%,0.27%
24/3/2020,"9,695,268",22.62%,0.27%
25/3/2020,"10,774,999",22.17%,0.28%
26/3/2020,"10,753,256",21.56%,0.27%
27/3/2020,"11,672,917",21.18%,1.97%
28/3/2020,"11,794,301",22.28%,1.46%
29/3/2020,"14,714,630",21.47%,1.68%
30/3/2020,"10,965,620",20.28%,0.35%
31/3/2020,"11,163,501",19.92%,0.33%
1/4/2020,"13,293,305",21.23%,1.38%
2/4/2020,"12,534,917",20.35%,1.14%
3/4/2020,"14,110,365",21.59%,1.51%
4/4/2020,"12,493,648",21.66%,0.29%
5/4/2020,"14,402,206",20.63%,0.35%
6/4/2020,"14,862,770",19.52%,0.60%
7/4/2020,"13,321,658",14.94%,0.31%
8/4/2020,"12,748,460",15.80%,0.28%
9/4/2020,"10,710,977",11.85%,0.25%
10/4/2020,"11,102,519",11.07%,0.25%
11/4/2020,"10,084,582",14.33%,0.28%
12/4/2020,"10,238,983",13.64%,0.38%
13/4/2020,"12,930,675",11.32%,0.38%
14/4/2020,"12,809,802",13.83%,0.32%
15/4/2020,"12,492,782",11.67%,0.27%
16/4/2020,"12,421,909",11.67%,0.26%
17/4/2020,"12,323,222",13.81%,0.28%
18/4/2020,"12,560,398",11.84%,0.27%
19/4/2020,"13,017,062",11.21%,0.36%
20/4/2020,"12,557,829",12.46%,0.36%
21/4/2020,"11,952,997",11.42%,0.32%
22/4/2020,"11,989,068",10.29%,0.30%
23/4/2020,"12,126,283",11.88%,0.34%
24/4/2020,"12,452,381",15.45%,0.33%
25/4/2020,"12,281,330",14.71%,0.30%
26/4/2020,"13,706,232",13.91%,0.36%
27/4/2020,"12,108,391",12.20%,0.35%
28/4/2020,"13,094,622",12.95%,0.34%
29/4/2020,"13,692,561",15.85%,0.37%
30/4/2020,"11,895,262",16.29%,0.34%
1/5/2020,"13,494,886",18.13%,0.34%
2/5/2020,"12,489,796",17.21%,0.30%
3/5/2020,"13,463,675",17.73%,0.97%
4/5/2020,"12,898,005",17.72%,0.85%
5/5/2020,"12,572,087",16.60%,0.82%
6/5/2020,"12,440,685",16.78%,0.32%
7/5/2020,"11,039,178",20.68%,0.39%
8/5/2020,"10,408,363",17.53%,0.47%
9/5/2020,"10,515,296",15.75%,0.42%
10/5/2020,"14,409,229",16.23%,0.34%
11/5/2020,"13,081,245",15.36%,0.33%
12/5/2020,"12,433,663",15.04%,0.35%
13/5/2020,"12,136,307",13.17%,0.34%
14/5/2020,"11,014,933",13.88%,0.33%
15/5/2020,"10,344,545",14.78%,0.32%
16/5/2020,"10,128,046",15.29%,0.33%
17/5/2020,"12,194,699",15.07%,0.37%
18/5/2020,"11,419,154",12.66%,0.36%
19/5/2020,"11,575,528",13.36%,0.32%
20/5/2020,"9,860,127",14.54%,0.34%
21/5/2020,"10,766,819",14.75%,0.31%
22/5/2020,"10,686,628",14.06%,0.32%
23/5/2020,"11,343,395",14.58%,0.29%
24/5/2020,"12,491,958",13.83%,0.35%
25/5/2020,"11,328,141",12.65%,0.36%
26/5/2020,"11,415,537",12.29%,0.33%
27/5/2020,"11,523,420",12.90%,0.33%
28/5/2020,"10,887,964",12.58%,0.31%
29/5/2020,"10,443,231",16.38%,0.37%
30/5/2020,"9,918,243",16.80%,0.32%
31/5/2020,"11,003,596",16.95%,0.36%
1/6/2020,"12,223,796",14.71%,0.33%
2/6/2020,"11,073,284",12.87%,0.30%
3/6/2020,"11,946,823",15.47%,0.29%
4/6/2020,"11,881,042",15.52%,0.35%
5/6/2020,"11,117,841",17.58%,0.39%
6/6/2020,"11,570,307",17.24%,0.34%
7/6/2020,"15,503,711",19.98%,0.63%
8/6/2020,"11,626,495",18.24%,0.62%
9/6/2020,"12,174,925",19.02%,0.63%
10/6/2020,"11,321,067",18.77%,0.33%
11/6/2020,"11,860,656",19.62%,0.32%
12/6/2020,"9,673,717",17.99%,0.32%
13/6/2020,"9,992,504",18.22%,0.27%
14/6/2020,"14,887,966",20.37%,0.30%
15/6/2020,"12,093,874",18.92%,0.33%
16/6/2020,"12,238,342",19.06%,0.31%
17/6/2020,"12,883,263",21.20%,0.29%
18/6/2020,"11,661,588",20.10%,0.29%
19/6/2020,"10,416,209",20.78%,0.29%
20/6/2020,"10,411,156",20.26%,0.28%
21/6/2020,"13,239,366",19.75%,0.31%
22/6/2020,"11,731,895",18.79%,0.32%
23/6/2020,"12,262,953",18.43%,0.28%
24/6/2020,"12,134,062",18.31%,0.27%
