date,revenue,discount_rate,coupon_rate
14/9/2021,"13,557,881",15.12%,0.27%
15/9/2021,"14,023,332",14.24%,0.35%
16/9/2021,"13,438,674",15.43%,0.29%
17/9/2021,"11,341,324",14.04%,0.29%
18/9/2021,"11,194,654",14.09%,0.26%
19/9/2021,"19,644,099",14.18%,3.11%
20/9/2021,"16,970,518",13.53%,2.61%
21/9/2021,"17,434,647",12.67%,2.96%
22/9/2021,"14,689,533",13.48%,0.40%
23/9/2021,"13,678,774",14.00%,0.37%
24/9/2021,"11,844,097",15.62%,0.40%
25/9/2021,"11,446,958",15.95%,0.27%
26/9/2021,"14,618,100",14.44%,0.27%
27/9/2021,"14,222,337",14.96%,0.29%
28/9/2021,"21,454,256",15.74%,7.73%
29/9/2021,"18,381,311",15.19%,4.43%
30/9/2021,"15,692,942",15.74%,1.23%
1/10/2021,"13,178,425",16.61%,0.26%
2/10/2021,"13,252,288",15.68%,0.22%
3/10/2021,"18,361,302",15.41%,0.22%
4/10/2021,"16,259,770",14.84%,0.22%
5/10/2021,"16,713,073",15.42%,0.23%
6/10/2021,"17,223,952",16.15%,0.27%
7/10/2021,"16,125,123",16.86%,0.30%
8/10/2021,"13,887,452",17.36%,0.27%
9/10/2021,"14,366,299",18.51%,0.24%
10/10/2021,"21,537,716",19.71%,0.94%
11/10/2021,"19,138,467",18.19%,0.84%
12/10/2021,"19,528,792",19.17%,0.91%
13/10/2021,"18,630,581",19.50%,0.30%
14/10/2021,"20,080,499",17.78%,2.93%
15/10/2021,"14,503,162",19.71%,0.30%
16/10/2021,"14,212,249",18.88%,0.32%
17/10/2021,"18,481,867",19.44%,0.32%
18/10/2021,"17,396,398",19.00%,1.01%
19/10/2021,"18,376,634",19.49%,1.10%
20/10/2021,"16,180,406",18.55%,0.28%
21/10/2021,"16,552,511",19.91%,0.25%
22/10/2021,"14,637,424",19.51%,0.34%
23/10/2021,"15,160,629",19.37%,0.33%
24/10/2021,"18,197,606",19.48%,0.23%
25/10/2021,"21,820,436",20.29%,3.28%
26/10/2021,"22,878,721",21.45%,3.82%
27/10/2021,"16,343,699",19.41%,0.59%
28/10/2021,"13,910,502",18.10%,0.54%
29/10/2021,"13,775,894",19.13%,1.80%
30/10/2021,"14,051,319",19.33%,1.75%
31/10/2021,"15,733,237",20.80%,2.00%
1/11/2021,"16,313,007",16.66%,0.27%
2/11/2021,"15,274,383",14.94%,0.23%
3/11/2021,"17,045,999",15.02%,0.24%
4/11/2021,"16,324,398",14.42%,0.33%
5/11/2021,"14,198,343",16.90%,0.33%
6/11/2021,"14,549,863",16.25%,0.34%
7/11/2021,"18,899,577",15.89%,0.33%
8/11/2021,"16,081,456",15.07%,0.33%
9/11/2021,"16,279,094",13.67%,0.30%
10/11/2021,"16,689,815",15.24%,0.32%
11/11/2021,"29,361,190",20.27%,11.25%
12/11/2021,"12,116,114",15.28%,0.52%
13/11/2021,"13,219,019",16.78%,0.32%
14/11/2021,"17,206,640",15.71%,0.31%
15/11/2021,"14,982,346",14.10%,0.30%
16/11/2021,"14,522,708",14.23%,0.29%
17/11/2021,"15,957,805",17.24%,0.29%
18/11/2021,"26,363,634",28.39%,1.22%
19/11/2021,"22,607,379",26.02%,0.96%
20/11/2021,"21,102,777",25.48%,0.91%
21/11/2021,"28,009,675",26.50%,0.95%
22/11/2021,"22,946,012",24.19%,0.79%
23/11/2021,"24,337,794",25.11%,0.84%
24/11/2021,"24,515,988",26.90%,0.84%
25/11/2021,"41,818,355",32.62%,1.40%
26/11/2021,"77,562,782",32.02%,1.26%
27/11/2021,"19,650,764",24.12%,1.16%
28/11/2021,"23,268,957",22.29%,1.12%
29/11/2021,"33,193,145",24.46%,10.32%
30/11/2021,"14,021,744",13.78%,0.51%
1/12/2021,"13,526,425",16.12%,0.36%
2/12/2021,"16,592,762",16.25%,0.38%
3/12/2021,"14,928,804",16.36%,0.33%
4/12/2021,"15,696,804",14.93%,0.40%
5/12/2021,"18,117,228",14.41%,0.31%
6/12/2021,"17,057,420",14.82%,0.81%
7/12/2021,"17,619,287",14.13%,0.83%
8/12/2021,"19,361,601",15.31%,0.84%
9/12/2021,"18,009,127",15.24%,0.29%
10/12/2021,"16,035,146",15.47%,0.32%
11/12/2021,"17,072,638",17.73%,0.35%
12/12/2021,"20,582,370",17.65%,0.33%
13/12/2021,"20,324,253",16.85%,1.89%
14/12/2021,"20,768,618",16.37%,3.00%
15/12/2021,"20,729,205",17.05%,3.13%
16/12/2021,"19,692,512",19.87%,3.01%
17/12/2021,"17,026,548",18.97%,2.77%
18/12/2021,"16,959,098",19.49%,2.93%
19/12/2021,"18,769,590",19.90%,3.01%
20/12/2021,"14,877,454",17.99%,0.32%
21/12/2021,"12,286,404",17.73%,0.32%
22/12/2021,"10,720,180",19.14%,0.36%
23/12/2021,"8,415,628",20.86%,0.45%
24/12/2021,"7,180,298",21.48%,0.45%
25/12/2021,"9,906,509",22.13%,0.42%
26/12/2021,"15,626,924",24.69%,2.55%
27/12/2021,"16,550,509",23.92%,2.34%
28/12/2021,"17,378,266",24.08%,2.40%
29/12/2021,"15,457,846",23.85%,0.43%
30/12/2021,"12,926,063",23.19%,0.49%
31/12/2021,"7,973,697",24.53%,0.83%
1/1/2022,"9,206,392",23.79%,0.26%
2/1/2022,"13,863,833",24.17%,0.23%
3/1/2022,"13,712,053",23.24%,0.26%
4/1/2022,"14,407,945",22.63%,0.25%
5/1/2022,"14,064,111",22.12%,0.26%
6/1/2022,"13,438,413",22.96%,0.26%
7/1/2022,"12,416,864",22.97%,0.26%
8/1/2022,"12,173,075",22.57%,0.22%
9/1/2022,"16,066,737",26.83%,1.03%
10/1/2022,"14,493,474",28.11%,0.95%
11/1/2022,"14,705,238",26.95%,1.00%
12/1/2022,"14,846,481",27.31%,0.28%
13/1/2022,"13,578,784",27.89%,0.28%
14/1/2022,"14,241,544",31.08%,1.40%
15/1/2022,"13,892,738",30.06%,1.29%
16/1/2022,"16,460,531",27.85%,1.23%
17/1/2022,"13,491,627",27.96%,0.27%
18/1/2022,"13,602,350",27.97%,0.25%
19/1/2022,"14,393,397",28.84%,0.28%
20/1/2022,"13,395,215",28.47%,0.27%
21/1/2022,"12,243,616",28.95%,0.28%
22/1/2022,"12,702,616",27.95%,0.26%
23/1/2022,"21,292,779",31.60%,7.16%
24/1/2022,"17,227,782",30.52%,6.50%
25/1/2022,"19,917,328",30.99%,7.01%
26/1/2022,"12,053,865",22.36%,0.49%
27/1/2022,"11,822,190",21.75%,0.40%
28/1/2022,"10,613,054",22.21%,0.74%
29/1/2022,"11,787,297",22.67%,0.77%
30/1/2022,"13,510,553",20.37%,0.68%
31/1/2022,"12,199,624",20.69%,0.78%
1/2/2022,"12,894,741",20.66%,0.38%
2/2/2022,"13,534,368",21.41%,0.47%
3/2/2022,"12,120,638",21.96%,0.66%
4/2/2022,"11,098,486",20.65%,0.55%
5/2/2022,"11,004,250",19.07%,0.52%
6/2/2022,"16,242,532",17.94%,3.54%
7/2/2022,"13,433,325",18.77%,2.92%
8/2/2022,"13,707,685",20.61%,2.89%
9/2/2022,"14,238,227",22.64%,2.90%
10/2/2022,"13,625,786",24.02%,3.12%
11/2/2022,"12,213,573",21.86%,3.13%
12/2/2022,"12,287,373",21.79%,3.04%
13/2/2022,"15,007,198",19.41%,3.11%
14/2/2022,"13,904,430",19.16%,3.41%
15/2/2022,"12,283,631",18.98%,0.46%
16/2/2022,"13,168,169",19.37%,0.48%
17/2/2022,"11,971,682",18.25%,0.44%
18/2/2022,"10,919,671",20.61%,0.49%
19/2/2022,"11,401,168",21.57%,0.47%
20/2/2022,"14,571,356",18.13%,0.42%
21/2/2022,"12,341,156",17.56%,0.43%
22/2/2022,"12,399,390",17.36%,0.45%
23/2/2022,"12,478,465",17.44%,0.63%
24/2/2022,"11,328,220",20.33%,0.62%
25/2/2022,"10,627,292",20.17%,0.57%
26/2/2022,"11,360,464",21.04%,0.56%
27/2/2022,"13,849,813",20.33%,0.54%
28/2/2022,"12,908,923",18.58%,0.55%
1/3/2022,"13,102,444",18.00%,0.39%
2/3/2022,"13,406,080",17.49%,0.50%
3/3/2022,"12,097,756",17.07%,0.52%
4/3/2022,"11,352,471",18.89%,0.49%
5/3/2022,"12,323,540",18.93%,0.49%
6/3/2022,"15,613,501",17.54%,0.42%
7/3/2022,"13,066,728",16.98%,0.41%
8/3/2022,"13,353,141",17.23%,0.41%
9/3/2022,"14,104,735",17.98%,0.46%
10/3/2022,"12,779,979",16.72%,0.48%
11/3/2022,"12,913,002",18.31%,2.25%
12/3/2022,"13,250,605",16.00%,2.36%
13/3/2022,"16,880,906",15.31%,2.47%
14/3/2022,"13,780,047",14.33%,0.43%
15/3/2022,"14,297,381",14.38%,0.38%
16/3/2022,"14,761,059",13.96%,0.46%
17/3/2022,"13,286,058",15.42%,0.50%
18/3/2022,"11,949,802",15.96%,0.51%
19/3/2022,"12,699,178",17.22%,0.38%
20/3/2022,"16,247,878",15.40%,0.42%
21/3/2022,"14,387,977",13.57%,0.34%
22/3/2022,"14,627,795",13.49%,0.35%
23/3/2022,"15,627,714",14.61%,0.35%
24/3/2022,"14,250,228",14.35%,0.37%
25/3/2022,"13,164,379",15.53%,0.39%
26/3/2022,"13,939,059",16.86%,0.47%
27/3/2022,"16,686,392",14.59%,0.39%
28/3/2022,"15,978,387",14.38%,0.36%
29/3/2022,"17,048,908",13.99%,2.19%
30/3/2022,"17,085,043",15.07%,1.85%
31/3/2022,"15,989,442",15.56%,1.98%
1/4/2022,"12,865,273",15.32%,0.28%
2/4/2022,"13,497,786",13.99%,0.24%
3/4/2022,"20,683,164",17.80%,0.26%
4/4/2022,"15,950,121",17.06%,0.26%
5/4/2022,"15,612,444",17.33%,0.26%
6/4/2022,"16,131,484",18.41%,0.25%
7/4/2022,"17,295,585",18.39%,1.76%
8/4/2022,"14,447,362",20.79%,0.28%
9/4/2022,"14,906,468",19.27%,0.21%
10/4/2022,"19,808,004",18.48%,1.64%
11/4/2022,"16,221,609",17.54%,1.35%
12/4/2022,"15,949,671",18.71%,1.48%
13/4/2022,"14,165,513",18.35%,0.38%
14/4/2022,"12,246,270",18.65%,0.42%
15/4/2022,"13,115,150",20.18%,0.63%
16/4/2022,"10,638,887",17.38%,0.42%
17/4/2022,"11,408,554",18.62%,0.61%
18/4/2022,"14,545,881",15.56%,0.35%
19/4/2022,"14,731,588",14.72%,0.19%
20/4/2022,"16,448,979",16.77%,0.22%
21/4/2022,"16,043,189",16.77%,0.21%
22/4/2022,"14,389,765",18.38%,0.21%
23/4/2022,"14,302,842",17.03%,0.18%
24/4/2022,"23,465,583",19.97%,3.40%
25/4/2022,"20,535,615",19.08%,4.10%
26/4/2022,"20,034,243",20.09%,3.84%
27/4/2022,"19,275,894",20.72%,1.91%
28/4/2022,"16,896,830",20.74%,0.26%
29/4/2022,"15,655,805",24.10%,0.26%
30/4/2022,"16,189,388",22.68%,0.24%
1/5/2022,"21,181,306",22.72%,0.83%
2/5/2022,"18,633,035",21.21%,0.66%
3/5/2022,"18,796,151",22.50%,0.84%
4/5/2022,"18,511,958",23.15%,0.50%
5/5/2022,"17,137,804",23.19%,0.43%
6/5/2022,"17,327,205",23.80%,2.61%
7/5/2022,"17,598,754",22.11%,2.89%
8/5/2022,"23,394,245",20.14%,3.16%
9/5/2022,"15,947,019",13.40%,0.26%
10/5/2022,"17,263,844",13.77%,0.22%
11/5/2022,"18,208,413",15.10%,0.24%
12/5/2022,"16,720,032",15.07%,0.24%
13/5/2022,"14,248,894",15.23%,0.26%
14/5/2022,"13,844,362",13.99%,0.22%
15/5/2022,"19,236,215",12.13%,0.34%
16/5/2022,"17,926,799",11.69%,0.33%
17/5/2022,"18,196,142",11.61%,0.34%
18/5/2022,"18,464,268",11.81%,0.31%
19/5/2022,"17,340,884",13.54%,0.32%
20/5/2022,"14,385,685",12.60%,0.32%
21/5/2022,"14,084,261",14.79%,0.33%
22/5/2022,"17,741,170",14.41%,0.30%
23/5/2022,"15,595,323",13.12%,0.31%
24/5/2022,"14,952,136",13.67%,0.29%
25/5/2022,"12,236,679",13.32%,0.46%
26/5/2022,"14,185,829",15.36%,0.50%
27/5/2022,"12,653,888",14.50%,0.44%
28/5/2022,"13,108,129",15.61%,0.41%
29/5/2022,"16,980,437",15.00%,0.42%
30/5/2022,"15,853,309",14.22%,0.92%
31/5/2022,"15,967,073",15.80%,0.93%
1/6/2022,"15,546,180",16.57%,0.84%
2/6/2022,"13,748,587",16.08%,0.85%
3/6/2022,"13,249,347",19.96%,0.79%
4/6/2022,"12,486,813",19.61%,0.80%
5/6/2022,"15,200,445",20.47%,0.98%
6/6/2022,"21,604,064",20.59%,2.75%
7/6/2022,"17,378,115",18.84%,2.59%
8/6/2022,"19,830,435",22.49%,3.05%
9/6/2022,"15,820,756",21.07%,0.37%
10/6/2022,"13,754,899",22.53%,0.34%
11/6/2022,"13,395,188",21.78%,0.31%
12/6/2022,"19,290,854",22.54%,2.54%
13/6/2022,"17,885,739",21.25%,2.39%
14/6/2022,"17,867,691",21.43%,2.54%
15/6/2022,"15,010,454",21.15%,0.29%
16/6/2022,"15,164,295",20.89%,0.24%
17/6/2022,"13,563,100",21.83%,0.24%
18/6/2022,"13,091,591",21.86%,0.20%
19/6/2022,"17,942,857",22.03%,0.21%
20/6/2022,"16,627,517",20.43%,0.22%
21/6/2022,"17,467,706",23.58%,0.25%
22/6/2022,"16,793,704",24.02%,0.25%
23/6/2022,"15,269,669",22.54%,0.25%
24/6/2022,"13,916,991",26.02%,0.26%
25/6/2022,"12,774,609",24.65%,0.24%
26/6/2022,"20,777,464",26.28%,4.69%
27/6/2022,"19,080,886",25.30%,4.22%
28/6/2022,"20,719,214",27.20%,4.74%
29/6/2022,"16,077,173",24.31%,0.32%
30/6/2022,"15,194,619",24.11%,0.25%
1/7/2022,"13,572,362",25.01%,0.22%
2/7/2022,"13,045,357",25.55%,0.21%
3/7/2022,"16,746,626",25.84%,0.21%
4/7/2022,"16,046,621",25.25%,0.24%
5/7/2022,"15,860,367",25.77%,0.24%
6/7/2022,"14,846,031",25.55%,0.27%
7/7/2022,"13,982,136",26.27%,0.24%
8/7/2022,"11,985,192",25.29%,0.24%
9/7/2022,"11,733,004",25.35%,0.21%
10/7/2022,"14,779,861",24.03%,0.18%
11/7/2022,"14,396,304",25.62%,0.23%
12/7/2022,"14,735,538",26.61%,0.22%
13/7/2022,"13,900,507",25.72%,0.23%
14/7/2022,"13,304,393",26.50%,0.23%
15/7/2022,"11,569,717",26.56%,0.24%
16/7/2022,"10,867,619",25.82%,0.22%
17/7/2022,"15,527,587",27.10%,2.13%
18/7/2022,"15,124,646",25.45%,2.06%
19/7/2022,"15,714,366",26.16%,2.22%
20/7/2022,"11,373,951",19.90%,0.26%
21/7/2022,"10,857,709",22.37%,0.31%
22/7/2022,"9,907,609",22.62%,0.39%
23/7/2022,"9,670,962",21.75%,0.34%
24/7/2022,"11,688,610",20.14%,0.33%
25/7/2022,"11,902,649",19.97%,0.24%
26/7/2022,"11,966,891",20.26%,0.23%
27/7/2022,"11,190,488",20.32%,0.25%
28/7/2022,"10,194,157",20.58%,0.34%
29/7/2022,"9,754,881",20.71%,0.60%
30/7/2022,"9,349,328",21.66%,0.42%
31/7/2022,"11,445,798",21.90%,0.70%
1/8/2022,"12,135,396",19.63%,0.66%
2/8/2022,"11,437,832",19.21%,0.24%
3/8/2022,"11,357,000",19.97%,0.32%
4/8/2022,"11,052,513",21.14%,0.37%
5/8/2022,"9,922,148",21.05%,0.37%
6/8/2022,"9,717,397",21.54%,0.40%
7/8/2022,"12,244,325",21.12%,0.39%
8/8/2022,"11,701,240",18.94%,0.23%
9/8/2022,"11,581,245",19.23%,0.29%
10/8/2022,"12,267,943",24.38%,0.36%
11/8/2022,"11,356,899",23.99%,0.41%
12/8/2022,"9,720,208",22.13%,0.27%
13/8/2022,"9,019,361",21.31%,0.23%
14/8/2022,"11,068,613",21.57%,0.21%
15/8/2022,"12,501,324",20.72%,2.41%
16/8/2022,"12,451,141",21.41%,1.12%
17/8/2022,"11,916,190",21.94%,0.41%
18/8/2022,"11,864,581",22.63%,0.34%
19/8/2022,"11,206,050",23.46%,0.23%
20/8/2022,"10,818,485",21.74%,0.24%
21/8/2022,"12,409,949",20.77%,0.24%
22/8/2022,"13,839,127",20.55%,3.19%
23/8/2022,"12,184,999",21.72%,1.16%
24/8/2022,"12,020,326",21.41%,0.33%
25/8/2022,"10,826,747",21.73%,0.34%
26/8/2022,"10,182,135",20.99%,0.38%
27/8/2022,"11,075,281",22.34%,0.57%
28/8/2022,"13,947,566",20.07%,0.51%
29/8/2022,"15,554,223",20.87%,3.34%
30/8/2022,"13,750,228",20.47%,1.21%
31/8/2022,"13,722,960",18.17%,0.29%
1/9/2022,"12,850,731",19.40%,0.27%
2/9/2022,"11,193,989",19.37%,0.27%
3/9/2022,"12,148,161",20.04%,0.34%
4/9/2022,"14,469,151",19.38%,0.37%
5/9/2022,"13,637,744",17.27%,0.31%
6/9/2022,"14,277,776",18.38%,0.34%
7/9/2022,"14,697,261",20.75%,0.33%
8/9/2022,"14,757,350",19.95%,0.26%
9/9/2022,"12,965,932",19.19%,0.25%
10/9/2022,"13,861,262",18.88%,0.23%
11/9/2022,"17,306,667",19.47%,0.23%
12/9/2022,"14,727,984",16.53%,0.24%
13/9/2022,"17,276,705",17.64%,3.53%
14/9/2022,"19,465,156",20.85%,4.02%
15/9/2022,"18,020,524",19.25%,3.86%
16/9/2022,"16,436,124",19.58%,3.69%
17/9/2022,"18,564,432",18.75%,3.69%
18/9/2022,"26,112,344",17.60%,4.08%
19/9/2022,"17,870,410",15.11%,0.53%
20/9/2022,"17,970,435",16.29%,0.61%
21/9/2022,"17,331,234",16.59%,0.64%
22/9/2022,"15,277,821",16.06%,0.38%
23/9/2022,"14,292,837",18.24%,0.35%
24/9/2022,"15,571,826",17.55%,0.30%
25/9/2022,"21,687,542",17.97%,1.66%
26/9/2022,"19,508,890",16.96%,1.97%
27/9/2022,"19,810,354",17.21%,2.09%
28/9/2022,"19,384,631",17.37%,0.99%
29/9/2022,"17,245,577",17.19%,0.40%
30/9/2022,"14,513,483",19.29%,0.44%
1/10/2022,"15,814,331",17.24%,0.39%
2/10/2022,"17,488,142",18.20%,0.36%
3/10/2022,"16,959,686",16.82%,0.32%
4/10/2022,"14,265,844",15.26%,0.29%
5/10/2022,"15,097,686",16.50%,0.56%
6/10/2022,"14,325,693",16.64%,0.49%
7/10/2022,"12,952,330",18.78%,0.44%
8/10/2022,"13,980,401",17.99%,0.43%
9/10/2022,"21,686,198",22.12%,0.44%
10/10/2022,"18,200,290",21.70%,0.36%
11/10/2022,"17,689,356",21.10%,0.32%
12/10/2022,"18,738,795",21.00%,1.61%
13/10/2022,"18,952,930",22.42%,2.08%
14/10/2022,"16,077,762",21.21%,1.58%
15/10/2022,"15,296,283",21.84%,0.38%
16/10/2022,"18,951,567",22.91%,0.84%
17/10/2022,"15,991,740",22.89%,0.37%
18/10/2022,"16,328,423",22.22%,0.35%
19/10/2022,"16,931,133",22.23%,0.52%
20/10/2022,"16,367,353",23.36%,0.49%
21/10/2022,"14,599,243",23.17%,0.44%
22/10/2022,"14,628,069",23.21%,0.39%
23/10/2022,"22,545,811",23.71%,3.13%
24/10/2022,"20,127,025",22.77%,3.06%
25/10/2022,"22,381,639",23.57%,3.46%
26/10/2022,"15,067,029",21.56%,0.66%
27/10/2022,"13,714,667",20.81%,0.61%
28/10/2022,"12,100,780",21.44%,0.55%
29/10/2022,"11,849,363",19.81%,0.36%
30/10/2022,"14,561,144",20.41%,0.34%
31/10/2022,"12,689,026",19.49%,0.35%
1/11/2022,"16,703,680",23.85%,1.50%
2/11/2022,"15,827,022",20.76%,0.94%
3/11/2022,"16,154,319",21.85%,0.92%
4/11/2022,"14,707,212",20.17%,0.88%
5/11/2022,"14,877,530",17.85%,0.41%
6/11/2022,"18,835,528",16.40%,0.31%
7/11/2022,"16,094,516",17.11%,0.30%
8/11/2022,"15,589,508",16.64%,0.29%
9/11/2022,"16,608,320",18.72%,0.74%
10/11/2022,"20,393,266",16.69%,9.15%
11/11/2022,"23,046,053",18.83%,9.89%
12/11/2022,"12,381,161",19.89%,0.60%
13/11/2022,"16,422,782",17.62%,0.27%
14/11/2022,"14,691,326",14.98%,0.27%
15/11/2022,"14,671,955",15.93%,0.25%
16/11/2022,"15,136,541",17.24%,0.42%
17/11/2022,"20,843,349",28.38%,0.54%
18/11/2022,"23,903,931",28.17%,0.43%
19/11/2022,"25,046,318",28.17%,0.39%
20/11/2022,"32,605,348",28.60%,0.41%
21/11/2022,"25,330,460",27.23%,0.42%
22/11/2022,"26,303,687",28.51%,0.41%
23/11/2022,"26,406,156",28.69%,0.53%
24/11/2022,"38,219,136",33.84%,0.53%
25/11/2022,"66,115,724",33.12%,0.44%
26/11/2022,"26,934,947",30.41%,0.38%
27/11/2022,"31,890,868",29.75%,0.35%
28/11/2022,"32,100,918",25.27%,8.93%
29/11/2022,"14,314,613",19.54%,0.26%
30/11/2022,"15,026,662",17.10%,0.32%