Date,Demand,Easter,Thanksgiving,Christmas,Temperature,Marketing
1/1/2015,720.0008852,0,0,0,3.68,41.305
1/2/2015,581.2767734,0,0,0,4.73,131.574
1/3/2015,754.117039,0,0,0,7.23,162.7
1/4/2015,622.2527745,0,0,0,10.96,160.281
1/5/2015,785.3733189,0,0,0,6.92,51.077
1/6/2015,584.7829833,0,0,0,-3.54,99.972
1/7/2015,698.9657049,0,0,0,-3.44,192.427
1/8/2015,767.2213155,0,0,0,-4.55,85.599
1/9/2015,608.6643405,0,0,0,1.08,131.77
1/10/2015,679.1952906,0,0,0,-3.83,156.329
1/11/2015,607.8410374,0,0,0,2.59,129.941
1/12/2015,755.1488924,0,0,0,3.89,47.443
1/13/2015,718.3111744,0,0,0,2.14,201.476
1/14/2015,794.0525111,0,0,0,0.65,112.44
1/15/2015,754.0854915,0,0,0,0.4,137.912
1/16/2015,621.0794142,0,0,0,3.63,185.799
1/17/2015,655.9090187,0,0,0,0.44,167.609
1/18/2015,614.5541876,0,0,0,7.33,123.401
1/19/2015,762.4900553,0,0,0,4.65,170.775
1/20/2015,637.3515304,0,0,0,3,110.11
1/21/2015,755.1666631,0,0,0,0.94,119.268
1/22/2015,663.6565428,0,0,0,2.73,166.149
1/23/2015,646.1703569,0,0,0,2.24,159.368
1/24/2015,752.6256221,0,0,0,2.11,121.699
1/25/2015,689.730406,0,0,0,3.46,136.874
1/26/2015,749.957372,0,0,0,-1.17,140.828
1/27/2015,744.42756,0,0,0,-2.76,150.584
1/28/2015,834.3233366,0,0,0,-1.77,141.047
1/29/2015,673.2902962,0,0,0,1.78,63.974
1/30/2015,589.9964829,0,0,0,1.77,112.562
1/31/2015,659.9775497,0,0,0,-4.94,59.618
2/1/2015,672.8674359,0,0,0,1.2,53.949
2/2/2015,693.9819491,0,0,0,3.97,181.483
2/3/2015,695.9173738,0,0,0,-4.13,69.147
2/4/2015,662.1060366,0,0,0,3.4,192.367
2/5/2015,672.4703515,0,0,0,2.72,121.316
2/6/2015,538.363048,0,0,0,-3.02,152.721
2/7/2015,704.5173216,0,0,0,2.3,204.678
2/8/2015,569.4084078,0,0,0,3.73,181.715
2/9/2015,804.2524123,0,0,0,-0.22,48.965
2/10/2015,590.8447761,0,0,0,0.94,87.807
2/11/2015,871.6690766,0,0,0,-1.42,147.75
2/12/2015,670.4287602,0,0,0,2.39,42.024
2/13/2015,610.894771,0,0,0,-6.91,95.505
2/14/2015,681.3292468,0,0,0,0.23,135.197
2/15/2015,633.0123754,0,0,0,-3.61,57.758
2/16/2015,704.9175487,0,0,0,-7.13,84.791
2/17/2015,698.5912636,0,0,0,-4.26,157.851
2/18/2015,799.075269,0,0,0,-1.42,125.327
2/19/2015,737.1010413,0,0,0,-2.69,124.094
2/20/2015,568.6637482,0,0,0,-7.57,123.639
2/21/2015,639.130322,0,0,0,0.7,175.557
2/22/2015,655.8981432,0,0,0,2,89.328
2/23/2015,696.1701337,0,0,0,0.65,149.333
2/24/2015,617.4534759,0,0,0,-2.97,117.523
2/25/2015,762.9213712,0,0,0,0.98,58.912
2/26/2015,639.0511789,0,0,0,-2.84,37.373
2/27/2015,595.2354833,0,0,0,-2.76,115.449
2/28/2015,752.3968554,0,0,0,-2.75,143.214
3/1/2015,562.9253792,0,0,0,-0.67,112.927
3/2/2015,689.9640765,0,0,0,0.68,107.441
3/3/2015,580.6886342,0,0,0,1.48,179.47
3/4/2015,827.2901046,0,0,0,2.87,126.859
3/5/2015,602.7720068,0,0,0,1.73,141.305
3/6/2015,546.4630498,0,0,0,-4.74,168.831
3/7/2015,655.3167336,0,0,0,1.45,66.356
3/8/2015,574.0489261,0,0,0,4.35,74.403
3/9/2015,729.3743335,0,0,0,7.15,172.573
3/10/2015,596.8332702,0,0,0,5.8,57.786
3/11/2015,683.6775513,0,0,0,9.4,190.121
3/12/2015,675.6852095,0,0,0,5.57,147.481
3/13/2015,570.0917386,0,0,0,2.87,42.177
3/14/2015,658.4708624,0,0,0,6.87,163.683
3/15/2015,615.9235206,0,0,0,5.69,181.649
3/16/2015,723.6686125,0,0,0,6.3,81.279
3/17/2015,663.8589176,0,0,0,9.65,63.664
3/18/2015,691.0553954,0,0,0,2.21,150.902
3/19/2015,695.1936117,0,0,0,3.37,97.717
3/20/2015,545.564715,0,0,0,1.71,71.027
3/21/2015,710.7758554,0,0,0,5.9,61.96
3/22/2015,615.5086719,0,0,0,3.55,96.393
3/23/2015,638.2674316,0,0,0,2.05,51.975
3/24/2015,608.0613476,0,0,0,3.67,184.064
3/25/2015,818.8872496,0,0,0,5.26,117.049
3/26/2015,640.0190909,0,0,0,9.88,103.104
3/27/2015,600.8029852,0,0,0,7.16,175.718
3/28/2015,688.9795325,0,0,0,2.62,170.513
3/29/2015,595.8932399,0,0,0,4.52,112.289
3/30/2015,661.3593326,0,0,0,8.05,131.091
3/31/2015,568.6867645,0,0,0,5.35,88.092
4/1/2015,658.2654743,0,0,0,7.05,44.8
4/2/2015,617.1735899,0,0,0,9.86,118.354
4/3/2015,544.0242986,0,0,0,11.81,86.859
4/4/2015,642.6257475,0,0,0,11.11,162.584
4/5/2015,576.5828425,1,0,0,11.42,150.054
4/6/2015,701.3543007,0,0,0,11.46,105.409
4/7/2015,653.57492,0,0,0,11.79,137.446
4/8/2015,745.8645567,0,0,0,6.01,62.688
4/9/2015,675.5331279,0,0,0,4.86,46.069
4/10/2015,551.3921836,0,0,0,11.38,100.733
4/11/2015,673.8249187,0,0,0,10.59,99.975
4/12/2015,560.6032543,0,0,0,11.62,50.041
4/13/2015,741.7472542,0,0,0,11.92,32.276
4/14/2015,648.0114295,0,0,0,13.01,48.347
4/15/2015,774.1641742,0,0,0,13.97,51.195
4/16/2015,574.0795194,0,0,0,10.75,30.525
4/17/2015,586.7053634,0,0,0,14.89,93.889
4/18/2015,659.0653672,0,0,0,16.65,45.547
4/19/2015,580.5367311,0,0,0,10.63,173.771
4/20/2015,704.6939731,0,0,0,13.11,165.326
4/21/2015,625.1724286,0,0,0,13.37,86.132
4/22/2015,681.8603847,0,0,0,12.92,179.869
4/23/2015,561.0874793,0,0,0,8.94,63.914
4/24/2015,578.9508798,0,0,0,8.26,56.363
4/25/2015,611.4228854,0,0,0,11.02,140.435
4/26/2015,543.2286804,0,0,0,12.32,146.439
4/27/2015,765.3391611,0,0,0,12.22,158.433
4/28/2015,611.8762391,0,0,0,15.33,42.122
4/29/2015,634.4572729,0,0,0,17.86,155.991
4/30/2015,610.6815575,0,0,0,11.9,140.212
5/1/2015,551.5978931,0,0,0,10.3,181.651
5/2/2015,610.5221911,0,0,0,12.96,167.245
5/3/2015,556.8703862,0,0,0,16.39,110.632
5/4/2015,712.5378056,0,0,0,17.6,154.963
5/5/2015,599.1138865,0,0,0,20.94,91.77
5/6/2015,703.263754,0,0,0,15.28,93.446
5/7/2015,610.7937893,0,0,0,17.05,119.806
5/8/2015,486.6663064,0,0,0,18.33,75.97
5/9/2015,649.9230723,0,0,0,16.08,86.731
5/10/2015,604.3639059,0,0,0,19.4,72.177
5/11/2015,734.667529,0,0,0,19.8,69.201
5/12/2015,620.3211431,0,0,0,21.26,177.426
5/13/2015,782.0822828,0,0,0,17.12,92.897
5/14/2015,587.4689281,0,0,0,17.08,113.935
5/15/2015,541.6361785,0,0,0,17.04,107.598
5/16/2015,662.3474174,0,0,0,17.78,99.206
5/17/2015,576.1991576,0,0,0,21.95,148.335
5/18/2015,629.1736895,0,0,0,17.36,67.876
5/19/2015,572.7863028,0,0,0,19.76,86.344
5/20/2015,756.6767115,0,0,0,16.4,125.166
5/21/2015,595.8656563,0,0,0,14.85,78.983
5/22/2015,550.8893611,0,0,0,18.68,77.559
5/23/2015,619.0613395,0,0,0,16.13,55.259
5/24/2015,585.8614068,0,0,0,18.79,98.033
5/25/2015,631.2198798,0,0,0,20.25,107.931
5/26/2015,582.8229502,0,0,0,20.41,142.687
5/27/2015,751.8579415,0,0,0,20.63,55.597
5/28/2015,639.6557689,0,0,0,20.81,83.676
5/29/2015,553.434994,0,0,0,20.51,81.531
5/30/2015,635.5801372,0,0,0,21.69,159.969
5/31/2015,562.2985682,0,0,0,22.34,135.579
6/1/2015,654.5928023,0,0,0,18.19,95.004
6/2/2015,537.1842064,0,0,0,14.07,48.725
6/3/2015,666.6103181,0,0,0,16.19,133.371
6/4/2015,626.497917,0,0,0,14.57,77.124
6/5/2015,519.9180922,0,0,0,15.63,75.399
6/6/2015,629.077629,0,0,0,18.73,59.571
6/7/2015,603.2745777,0,0,0,18.19,110.199
6/8/2015,627.4030187,0,0,0,19.9,107.809
6/9/2015,558.4069892,0,0,0,21.94,167.094
6/10/2015,643.6419203,0,0,0,21.43,119.932
6/11/2015,605.8264727,0,0,0,23.44,119.957
6/12/2015,518.7640224,0,0,0,23.24,114.971
6/13/2015,597.5387844,0,0,0,25.25,113.278
6/14/2015,580.3806544,0,0,0,23.4,127.388
6/15/2015,694.1080707,0,0,0,24.11,196.711
6/16/2015,622.3179866,0,0,0,23.91,52.509
6/17/2015,655.6396451,0,0,0,21.87,157.874
6/18/2015,629.8828675,0,0,0,19.44,166.467
6/19/2015,510.0194847,0,0,0,25.65,105.408
6/20/2015,651.29832,0,0,0,21.55,110.121
6/21/2015,501.9740371,0,0,0,25.96,61.154
6/22/2015,703.8273089,0,0,0,26.33,71.23
6/23/2015,538.0496084,0,0,0,25.08,103.38
6/24/2015,587.5949749,0,0,0,25.23,76.137
6/25/2015,549.8418272,0,0,0,24.33,138.197
6/26/2015,476.9824157,0,0,0,23.26,104.269
6/27/2015,598.4772764,0,0,0,20.48,136.044
6/28/2015,546.6852879,0,0,0,23.55,152.733
6/29/2015,641.1537957,0,0,0,22.74,132.243
6/30/2015,512.3452952,0,0,0,23.08,125.669
7/1/2015,575.2808204,0,0,0,24.4,64.119
7/2/2015,599.9461143,0,0,0,23.54,133.013
7/3/2015,474.2739115,0,0,0,24.4,146.973
7/4/2015,515.8688943,0,0,0,22.61,120.056
7/5/2015,518.6097709,0,0,0,24.77,111.654
7/6/2015,555.7896735,0,0,0,23.9,38.455
7/7/2015,471.9658339,0,0,0,25.98,83.32
7/8/2015,691.8469582,0,0,0,26.16,46.332
7/9/2015,551.4558938,0,0,0,24.76,54.971
7/10/2015,446.7920982,0,0,0,26.14,95.127
7/11/2015,564.6350403,0,0,0,26.75,62.115
7/12/2015,565.8568627,0,0,0,26.76,92.883
7/13/2015,583.5872836,0,0,0,25.85,140.438
7/14/2015,541.6942501,0,0,0,25,87.529
7/15/2015,650.9931129,0,0,0,24.87,172.007
7/16/2015,581.8727772,0,0,0,23.6,126.879
7/17/2015,467.0484526,0,0,0,23.8,57.352
7/18/2015,577.3707706,0,0,0,25.02,98.686
7/19/2015,506.6100068,0,0,0,28.25,37.27
7/20/2015,626.3840971,0,0,0,29.37,152.739
7/21/2015,487.351306,0,0,0,28.51,136.335
7/22/2015,658.1163565,0,0,0,26.94,44.877
7/23/2015,592.680072,0,0,0,26.44,27.217
7/24/2015,456.1019247,0,0,0,26.32,76.503
7/25/2015,547.895957,0,0,0,26.26,72.454
7/26/2015,564.7296722,0,0,0,26.73,64.011
7/27/2015,626.3001007,0,0,0,25.73,147.945
7/28/2015,509.2999801,0,0,0,29.1,151.671
7/29/2015,578.1622565,0,0,0,29.45,51.16
7/30/2015,597.7685903,0,0,0,27.69,108.925
7/31/2015,485.8306679,0,0,0,28.78,90.7
8/1/2015,523.1370308,0,0,0,28.47,85.436
8/2/2015,481.1245781,0,0,0,27.87,122.635
8/3/2015,601.8174868,0,0,0,27.88,109.187
8/4/2015,489.7134587,0,0,0,28.8,50.31
8/5/2015,539.6360568,0,0,0,28.26,55.989
8/6/2015,511.4317335,0,0,0,26,81.534
8/7/2015,453.8839487,0,0,0,25.73,94.09
8/8/2015,518.3637652,0,0,0,25.62,83.77
8/9/2015,496.3535254,0,0,0,26.51,41.35
8/10/2015,599.1456012,0,0,0,24.92,61.654
8/11/2015,527.458573,0,0,0,24.93,59.511
8/12/2015,566.3337466,0,0,0,26.97,61.861
8/13/2015,526.679319,0,0,0,26.34,140.293
8/14/2015,425.7753195,0,0,0,27.2,103.607
8/15/2015,534.8756451,0,0,0,28.4,128.439
8/16/2015,474.8484904,0,0,0,28.88,59.498
8/17/2015,573.2580055,0,0,0,29.12,125.535
8/18/2015,456.2566066,0,0,0,28.08,38.394
8/19/2015,670.6756065,0,0,0,26.88,107.373
8/20/2015,527.6721249,0,0,0,27.13,105.547
8/21/2015,436.6867235,0,0,0,27.14,75.921
8/22/2015,591.3960248,0,0,0,27.01,86.099
8/23/2015,475.8621796,0,0,0,25.83,145.227
8/24/2015,592.6867838,0,0,0,26.99,113.909
8/25/2015,510.6426082,0,0,0,27.63,160.041
8/26/2015,559.1186938,0,0,0,26.8,110.796
8/27/2015,583.3021964,0,0,0,25.8,130.426
8/28/2015,466.0240708,0,0,0,25.45,101.8
8/29/2015,532.8104967,0,0,0,26.76,91.362
8/30/2015,483.6000065,0,0,0,27.98,57.185
8/31/2015,588.5567133,0,0,0,28.57,62.696
9/1/2015,529.4314302,0,0,0,28.12,171.993
9/2/2015,643.0509197,0,0,0,27.89,48.484
9/3/2015,562.6303433,0,0,0,29.36,120.843
9/4/2015,459.0885456,0,0,0,25.55,119.341
9/5/2015,572.4787834,0,0,0,24.42,102.248
9/6/2015,537.1652217,0,0,0,25.23,83.259
9/7/2015,619.2323766,0,0,0,28.3,70.541
9/8/2015,527.9428627,0,0,0,29.39,97.407
9/9/2015,630.2281874,0,0,0,28.46,33.747
9/10/2015,541.5245567,0,0,0,24.68,34.37
9/11/2015,490.1728584,0,0,0,26.04,165.343
9/12/2015,575.1126079,0,0,0,24.58,60.223
9/13/2015,513.5395156,0,0,0,23.52,53.205
9/14/2015,617.0855648,0,0,0,24,38.999
9/15/2015,495.6695808,0,0,0,25.6,95.072
9/16/2015,576.8683136,0,0,0,26.79,135.809
9/17/2015,553.1042156,0,0,0,26.97,125.371
9/18/2015,450.9289487,0,0,0,25.44,109.807
9/19/2015,589.2195927,0,0,0,24.77,81.856
9/20/2015,543.5287755,0,0,0,24.63,98.068
9/21/2015,586.1535911,0,0,0,20.82,45.076
9/22/2015,601.6555949,0,0,0,21.55,141.059
9/23/2015,678.71919,0,0,0,23.05,37.01
9/24/2015,517.3913915,0,0,0,23.96,37.331
9/25/2015,532.0281904,0,0,0,21.58,140.205
9/26/2015,574.0448704,0,0,0,19.9,76.223
9/27/2015,559.282221,0,0,0,20.44,143.412
9/28/2015,622.7306514,0,0,0,23.15,145.165
9/29/2015,548.3000565,0,0,0,23.95,131.785
9/30/2015,687.4447597,0,0,0,22.84,164.722
10/1/2015,648.2396835,0,0,0,16.66,46.897
10/2/2015,507.1479395,0,0,0,14.34,42.872
10/3/2015,595.4307288,0,0,0,14.61,118.323
10/4/2015,510.8408032,0,0,0,16.61,91.617
10/5/2015,632.1439149,0,0,0,17.57,115.997
10/6/2015,494.3348629,0,0,0,20.27,102.962
10/7/2015,778.8622159,0,0,0,20.23,78.655
10/8/2015,583.6929468,0,0,0,18.65,138.221
10/9/2015,503.7159002,0,0,0,21.9,123.618
10/10/2015,553.4382482,0,0,0,16.51,147.253
10/11/2015,533.3774071,0,0,0,18.23,175.835
10/12/2015,642.2328065,0,0,0,20.19,78.239
10/13/2015,536.895264,0,0,0,20.76,129
10/14/2015,627.5050231,0,0,0,18.83,35.205
10/15/2015,565.1764545,0,0,0,17.12,129.924
10/16/2015,515.0627814,0,0,0,16.97,150.634
10/17/2015,535.8638857,0,0,0,13.04,149.367
10/18/2015,528.8861546,0,0,0,9.67,69.147
10/19/2015,647.1861587,0,0,0,10.94,162.419
10/20/2015,601.7821358,0,0,0,18.79,42.126
10/21/2015,719.9366705,0,0,0,19.54,111.246
10/22/2015,558.2161431,0,0,0,19.95,120.21
10/23/2015,499.5714653,0,0,0,16.23,150.233
10/24/2015,651.0707114,0,0,0,13.43,71.138
10/25/2015,534.9603149,0,0,0,17.54,98.253
10/26/2015,679.139172,0,0,0,13.98,180.287
10/27/2015,589.5062837,0,0,0,13.74,159.916
10/28/2015,620.1148629,0,0,0,18.48,42.911
10/29/2015,575.8385512,0,0,0,19.56,44.923
10/30/2015,552.699657,0,0,0,15.01,104.888
10/31/2015,641.3697121,0,0,0,12.04,107.286
11/1/2015,586.8807833,0,0,0,17.21,81.058
11/2/2015,660.0045599,0,0,0,15.31,88.256
11/3/2015,690.6607374,0,0,0,18.94,37.887
11/4/2015,683.554473,0,0,0,17.73,152.666
11/5/2015,633.7092509,0,0,0,19.03,88.761
11/6/2015,504.2735575,0,0,0,19.35,85.128
11/7/2015,638.9829994,0,0,0,17.2,122.314
11/8/2015,597.7450744,0,0,0,13.17,53.221
11/9/2015,672.5277483,0,0,0,14.11,123.07
11/10/2015,523.3913805,0,0,0,15.08,176.821
11/11/2015,710.1341955,0,0,0,13.76,73.939
11/12/2015,630.5050119,0,0,0,15.35,43.553
11/13/2015,578.4249348,0,0,0,13.83,177.381
11/14/2015,646.0907974,0,0,0,9.62,163.656
11/15/2015,600.016331,0,0,0,14.05,111.8
11/16/2015,667.3069756,0,0,0,16.63,141.106
11/17/2015,553.2280928,0,0,0,10.06,103.997
11/18/2015,706.4298664,0,0,0,14.08,108.883
11/19/2015,580.4787306,0,0,0,16.22,141.46
11/20/2015,565.9771053,0,0,0,15.52,63.502
11/21/2015,655.7774656,0,0,0,11.93,45.781
11/22/2015,560.9741084,0,0,0,12.98,74.976
11/23/2015,685.1344113,0,0,0,6.51,143.747
11/24/2015,585.6180306,0,0,0,7.84,85.228
11/25/2015,801.4415057,0,0,0,8.69,49.717
11/26/2015,625.1173512,0,1,0,14.14,52.542
11/27/2015,567.1949067,0,0,0,15.27,71.338
11/28/2015,656.4086822,0,0,0,14.08,47.837
11/29/2015,625.192317,0,0,0,8.42,165.72
11/30/2015,692.9306528,0,0,0,9.06,142.693
12/1/2015,716.6749809,0,0,0,11.1,92.707
12/2/2015,784.4638152,0,0,0,13.14,182.37
12/3/2015,692.0442861,0,0,0,11.98,187.486
12/4/2015,629.8492684,0,0,0,9.98,173.971
12/5/2015,762.3601576,0,0,0,9.37,120.974
12/6/2015,615.6922902,0,0,0,10.5,203.843
12/7/2015,809.825962,0,0,0,10.76,93.39
12/8/2015,723.0511114,0,0,0,8.87,94.463
12/9/2015,761.3141514,0,0,0,11.54,222.676
12/10/2015,717.7022511,0,0,0,13.25,73.579
12/11/2015,627.1548377,0,0,0,13.4,163.458
12/12/2015,740.827869,0,0,0,15.03,204.723
12/13/2015,698.0411969,0,0,0,14.92,51.427
12/14/2015,862.8848118,0,0,0,15.09,130.426
12/15/2015,755.3346601,0,0,0,15.87,60.212
12/16/2015,878.8261918,0,0,0,10.19,191.813
12/17/2015,687.0582675,0,0,0,12.97,76.385
12/18/2015,604.7132913,0,0,0,11.4,48.703
12/19/2015,696.7017349,0,0,0,4.74,115.464
12/20/2015,737.7657168,0,0,0,5.62,200.674
12/21/2015,835.5793886,0,0,0,11.06,183.3
12/22/2015,585.4274677,0,0,0,13.43,157.213
12/23/2015,836.3840379,0,0,0,14.73,138.066
12/24/2015,658.1065033,0,0,0,17.19,149.105
12/25/2015,692.8381407,0,0,1,15.27,135.377
12/26/2015,706.7359459,0,0,0,12.87,213.289
12/27/2015,667.5544721,0,0,0,14.8,192.922
12/28/2015,799.2590712,0,0,0,7.69,218.963
12/29/2015,620.8324639,0,0,0,12.59,96.168
12/30/2015,824.8627871,0,0,0,10.36,109.734
12/31/2015,667.3352312,0,0,0,10.6,152.62
1/1/2016,641.2706924,0,0,0,5.68,143.394
1/2/2016,740.5543304,0,0,0,4.75,184.516
1/3/2016,678.8626009,0,0,0,7.55,191.291
1/4/2016,753.1586108,0,0,0,2.44,113.323
1/5/2016,676.9639833,0,0,0,-1.42,97.442
1/6/2016,853.901832,0,0,0,3.79,204.195
1/7/2016,690.1738985,0,0,0,6.44,77.742
1/8/2016,562.4465445,0,0,0,6.66,45.671
1/9/2016,726.9531437,0,0,0,8.89,57.537
1/10/2016,640.227125,0,0,0,13.37,70.82
1/11/2016,844.247215,0,0,0,3.03,210.975
1/12/2016,696.1707188,0,0,0,6.55,206.887
1/13/2016,795.7313353,0,0,0,-0.57,179.677
1/14/2016,713.1741997,0,0,0,3.98,191.91
1/15/2016,610.0554657,0,0,0,7.46,80.911
1/16/2016,815.5151721,0,0,0,9.27,155.981
1/17/2016,636.2537852,0,0,0,2.84,210.122
1/18/2016,747.4560375,0,0,0,0.95,141.702
1/19/2016,597.9572992,0,0,0,-1.88,116.797
1/20/2016,681.4016583,0,0,0,2.59,200.709
1/21/2016,753.4003199,0,0,0,2.17,166.708
1/22/2016,609.3912182,0,0,0,-0.73,58.87
1/23/2016,664.0819509,0,0,0,1.27,168.777
1/24/2016,656.3423962,0,0,0,0.84,179.263
1/25/2016,786.3979061,0,0,0,2.87,195.19
1/26/2016,637.1731555,0,0,0,5.83,123.721
1/27/2016,747.9838185,0,0,0,4.77,210.567
1/28/2016,686.2335667,0,0,0,5.26,140.066
1/29/2016,576.0316484,0,0,0,3.86,104.832
1/30/2016,819.7944426,0,0,0,3.5,191.61
1/31/2016,674.0664742,0,0,0,7.82,204.926
2/1/2016,697.810267,0,0,0,8.84,62.854
2/2/2016,710.0500323,0,0,0,7.96,35.895
2/3/2016,858.1030556,0,0,0,11.22,84.277
2/4/2016,608.1891523,0,0,0,10.51,96.149
2/5/2016,661.9347404,0,0,0,4.01,50.577
2/6/2016,735.0038627,0,0,0,3.32,70.474
2/7/2016,603.0566611,0,0,0,5.64,36.927
2/8/2016,779.9428172,0,0,0,3.12,79.645
2/9/2016,649.3499177,0,0,0,1.3,55.495
2/10/2016,743.6199337,0,0,0,3.31,177.898
2/11/2016,690.1053778,0,0,0,-0.77,171.417
2/12/2016,604.0274747,0,0,0,-3.23,41.721
2/13/2016,755.8386569,0,0,0,-3.94,157.195
2/14/2016,659.7287537,0,0,0,-7.53,173.185
2/15/2016,704.45243,0,0,0,5.7,128.942
2/16/2016,672.649947,0,0,0,10.89,38.099
2/17/2016,741.6829911,0,0,0,4.74,96.457
2/18/2016,674.7911892,0,0,0,1.37,116.864
2/19/2016,579.1230418,0,0,0,4.05,182.368
2/20/2016,711.0561321,0,0,0,9.64,136.995
2/21/2016,598.8564629,0,0,0,10.26,86.984
2/22/2016,730.9575799,0,0,0,8.01,204.4
2/23/2016,603.2576647,0,0,0,4.76,69.188
2/24/2016,722.7043313,0,0,0,12.62,160.735
2/25/2016,721.3907477,0,0,0,12.73,44.104
2/26/2016,587.2875532,0,0,0,2.69,90.875
2/27/2016,658.5096025,0,0,0,3.48,126.343
2/28/2016,666.7844385,0,0,0,9.8,39.372
2/29/2016,757.0548004,0,0,0,10.89,139.469
3/1/2016,591.3424711,0,0,0,9.31,150.491
3/2/2016,643.5637004,0,0,0,9.66,36.035
3/3/2016,602.7913128,0,0,0,1.01,104.303
3/4/2016,600.9484494,0,0,0,2.2,171.278
3/5/2016,725.3960804,0,0,0,2.14,157.946
3/6/2016,596.2746671,0,0,0,4.51,170.448
3/7/2016,661.0984775,0,0,0,9.32,178.04
3/8/2016,686.0480436,0,0,0,11.01,135.446
3/9/2016,787.9137405,0,0,0,13.35,164.272
3/10/2016,648.2098553,0,0,0,15.9,136.648
3/11/2016,615.2227934,0,0,0,12.71,145.886
3/12/2016,649.6969926,0,0,0,10.35,81.73
3/13/2016,679.7225882,0,0,0,11.66,44.05
